2026-01-23 13:19:53 | INFO | pllay_torch | [Epoch 3] Train: loss=0.1067, acc=0.9689
2026-01-23 13:19:54 | INFO | pllay_torch | [Epoch 3] Val  : loss=0.0931, acc=0.9729
2026-01-23 13:19:54 | INFO | pllay_torch | New Best Accuracy: 0.9729 found!
2026-01-23 13:19:58 | INFO | pllay_torch | [Epoch 4] Train: loss=0.0857, acc=0.9749
2026-01-23 13:20:00 | INFO | pllay_torch | [Epoch 4] Val  : loss=0.0868, acc=0.9757
2026-01-23 13:20:00 | INFO | pllay_torch | New Best Accuracy: 0.9757 found!
2026-01-23 13:20:04 | INFO | pllay_torch | [Epoch 5] Train: loss=0.0713, acc=0.9793
2026-01-23 13:20:06 | INFO | pllay_torch | [Epoch 5] Val  : loss=0.0762, acc=0.9772
2026-01-23 13:20:06 | INFO | pllay_torch | New Best Accuracy: 0.9772 found!
2026-01-23 13:20:10 | INFO | pllay_torch | [Epoch 6] Train: loss=0.0634, acc=0.9820
2026-01-23 13:20:12 | INFO | pllay_torch | [Epoch 6] Val  : loss=0.0721, acc=0.9802
2026-01-23 13:20:12 | INFO | pllay_torch | New Best Accuracy: 0.9802 found!
2026-01-23 13:20:16 | INFO | pllay_torch | [Epoch 7] Train: loss=0.0585, acc=0.9823
2026-01-23 13:20:17 | INFO | pllay_torch | [Epoch 7] Val  : loss=0.0825, acc=0.9786
2026-01-23 13:20:21 | INFO | pllay_torch | [Epoch 8] Train: loss=0.0487, acc=0.9856
2026-01-23 13:20:23 | INFO | pllay_torch | [Epoch 8] Val  : loss=0.0783, acc=0.9810
2026-01-23 13:20:23 | INFO | pllay_torch | New Best Accuracy: 0.9810 found!
2026-01-23 13:20:27 | INFO | pllay_torch | [Epoch 9] Train: loss=0.0491, acc=0.9857
2026-01-23 13:20:29 | INFO | pllay_torch | [Epoch 9] Val  : loss=0.0872, acc=0.9792
2026-01-23 13:20:33 | INFO | pllay_torch | [Epoch 10] Train: loss=0.0437, acc=0.9871
2026-01-23 13:20:35 | INFO | pllay_torch | [Epoch 10] Val  : loss=0.0861, acc=0.9800
2026-01-23 13:20:35 | INFO | pllay_torch | <<< Training Finished
